exp_name,hypervolume,tds,mpd,mce,pmd,pas,fci,qds,der,rbd
batch_256,1.1692031143482569,0.4105863680340887,1.4458430911106592,0.16598978833825556,0.0,0.1079879048509097,0.4438711651984136,0.5178504099731749,1.2029819863157638,0.41083090489757657
batch_32,1.1692031143482569,0.4095244913965176,1.6063117226176007,0.1792595479018862,0.0,0.08242373179744303,0.42796001287503477,0.5096337735542964,7.59838978737466,0.40970788840789324
batch_512,1.1692031143482569,0.4089273085442871,1.335680473930846,0.19891721245238608,0.0,0.10891738245741214,0.430604028981604,0.5181491553906834,0.5975072568411981,0.4091937756968103
batch_64,1.1692031143482569,0.40751883998961824,1.6708817653637738,0.19574119930173334,0.0,0.09086104814422427,0.4379640071611245,0.5123456297378532,4.122057656868125,0.40758385441719314
categorical,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.4927738421517827,0.4111357966388324
diverse_sampling,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.490584299959969,0.4111357966388324
greedy,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.4789605166411475,0.4111357966388324
off_policy_10,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.4945247550937424,0.4111357966388324
off_policy_25,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.4939527805452477,0.4111357966388324
off_policy_50,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.4903172438142738,0.4111357966388324
on_policy_pure,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.4949429166779233,0.4111357966388324
pref_dirichlet_high,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.492387117823218,0.4111357966388324
pref_dirichlet_low,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.4792364046716306,0.4111357966388324
pref_dirichlet_medium,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.4659868655828965,0.4111357966388324
pref_uniform,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.492139513765006,0.4111357966388324
quality_sampling,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.4918107907404483,0.4111357966388324
temp_high,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.4881038981718504,0.4111357966388324
temp_low,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.474902459980292,0.4111357966388324
temp_medium,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.488062754905219,0.4111357966388324
temp_very_high,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.4887610764411243,0.4111357966388324
top_k,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.4934799150202345,0.4111357966388324
top_p,1.1692031143482569,0.41100890973429893,1.4707798479000354,0.1817996955723573,0.0,0.11078589378079236,0.4202702706239359,0.5187497176759044,2.492908227295485,0.4111357966388324
